neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,availability_365,cancellation_policy,price
22,7,0,4,1.5,2.0,3.0,4,0,1,250.0
22,0,1,2,1.0,1.0,1.0,4,359,1,65.0
22,0,1,2,1.0,1.0,1.0,4,319,1,65.0
22,7,1,2,1.5,1.0,2.0,4,334,0,79.0
22,3,1,2,1.0,1.0,1.0,4,58,0,75.0
22,7,1,2,2.0,1.0,1.0,4,365,1,75.0
22,3,1,2,1.0,1.0,2.0,4,347,1,58.0
22,0,0,5,1.0,2.0,2.0,4,107,2,229.0
22,7,1,2,1.0,1.0,1.0,4,343,0,60.0
22,7,1,1,1.0,1.0,1.0,4,341,0,57.0
22,3,0,4,1.0,2.0,2.0,4,0,0,93.0
22,0,0,5,1.0,2.0,3.0,4,129,1,150.0
22,7,0,2,1.5,2.0,2.0,4,319,1,145.0
22,0,1,1,0.0,1.0,1.0,4,339,2,60.0
22,7,1,4,1.0,1.0,3.0,4,349,0,165.0
22,3,1,2,1.0,1.0,1.0,4,0,0,75.0
22,7,1,1,1.0,1.0,1.0,4,295,2,49.0
22,11,1,1,2.5,1.0,1.0,4,332,0,40.0
22,7,0,3,1.0,0.0,2.0,4,207,1,120.0
22,0,1,2,0.0,1.0,1.0,4,299,2,70.0
22,7,0,5,3.5,4.0,3.0,4,0,1,175.0
22,7,1,2,1.5,1.0,1.0,4,1,1,95.0
22,0,1,2,1.0,1.0,1.0,4,122,2,90.0
22,7,1,2,1.0,1.0,1.0,4,107,1,95.0
22,0,1,2,1.0,1.0,2.0,4,356,0,100.0
22,7,1,2,1.0,1.0,1.0,4,310,0,67.0
22,3,1,1,1.0,1.0,1.0,4,129,0,55.0
22,0,0,6,1.0,2.0,2.0,4,353,2,200.0
22,0,0,4,1.0,1.0,2.0,4,17,0,150.0
22,7,1,1,1.0,1.0,1.0,4,325,2,49.0
22,7,1,1,1.5,1.0,1.0,4,362,0,75.0
22,7,0,4,1.0,1.0,2.0,4,300,2,110.0
22,7,0,16,1.0,3.0,5.0,4,351,2,125.0
22,7,0,16,2.5,3.0,7.0,4,343,2,200.0
22,7,1,2,2.0,1.0,1.0,4,361,1,75.0
22,7,1,1,1.0,1.0,1.0,4,339,0,78.0
22,0,1,4,1.0,1.0,2.0,4,0,0,50.0
22,0,1,1,1.0,1.0,1.0,4,355,0,60.0
22,7,1,1,1.5,1.0,1.0,4,254,0,45.0
22,7,0,4,1.0,2.0,2.0,4,306,2,145.0
22,7,1,2,2.0,1.0,1.0,4,133,0,45.0
22,7,1,2,1.5,1.0,1.0,4,267,1,85.0
22,7,1,1,1.0,1.0,1.0,4,355,2,75.0
22,7,1,2,2.0,1.0,1.0,4,161,0,50.0
22,7,1,1,2.5,1.0,1.0,4,260,0,45.0
22,7,1,2,1.0,1.0,1.0,4,248,1,60.0
22,0,0,3,1.0,1.0,1.0,4,258,2,95.0
22,0,0,2,1.0,0.0,1.0,4,348,2,89.0
22,0,0,3,1.0,0.0,2.0,4,333,0,110.0
22,7,0,7,2.0,3.0,3.0,4,331,2,285.0
17,0,0,4,1.0,1.0,1.0,4,144,1,140.0
17,0,1,2,1.0,1.0,1.0,4,328,2,70.0
17,7,1,2,1.0,1.0,1.0,4,365,0,95.0
17,1,1,2,1.0,1.0,1.0,4,0,0,55.0
17,0,1,2,1.0,1.0,1.0,4,301,1,80.0
17,7,1,2,1.0,1.0,1.0,4,109,0,120.0
17,0,1,2,1.0,1.0,1.0,4,0,0,65.0
17,0,1,4,1.0,1.0,2.0,4,23,1,100.0
17,7,1,1,1.0,1.0,1.0,4,340,0,60.0
17,0,1,2,1.0,1.0,1.0,4,0,0,63.0
17,10,1,2,1.0,1.0,1.0,4,250,0,75.0
17,7,1,2,1.0,1.0,1.0,4,0,2,65.0
17,0,1,1,1.0,1.0,1.0,4,346,2,110.0
17,7,1,2,1.0,1.0,1.0,4,62,2,46.0
17,0,1,3,1.0,1.0,1.0,4,0,2,75.0
17,0,1,2,1.5,1.0,1.0,4,0,1,62.0
17,3,1,2,1.5,1.0,1.0,4,15,0,69.0
17,0,1,2,1.0,1.0,1.0,4,0,1,69.0
17,7,1,2,2.0,1.0,1.0,4,78,1,73.0
17,0,1,1,1.0,1.0,1.0,4,306,2,85.0
17,0,1,2,2.0,1.0,1.0,4,337,2,120.0
17,7,1,2,3.5,1.0,2.0,4,365,0,125.0
17,0,1,1,1.0,1.0,1.0,3,363,0,70.0
17,3,1,2,1.0,1.0,1.0,4,0,0,100.0
17,3,1,2,1.0,1.0,1.0,4,255,1,61.0
17,7,1,4,1.0,1.0,2.0,4,328,2,125.0
17,0,1,2,1.0,1.0,1.0,4,316,0,100.0
17,0,1,1,1.0,1.0,1.0,4,0,0,27.0
17,0,1,2,1.0,1.0,1.0,4,0,0,80.0
17,7,1,2,1.0,1.0,1.0,4,365,0,85.0
17,7,1,3,1.0,1.0,2.0,4,358,0,75.0
17,0,1,2,1.0,1.0,1.0,4,0,1,100.0
17,0,1,1,1.0,1.0,1.0,4,309,0,40.0
17,7,1,1,1.0,1.0,1.0,4,279,2,100.0
